"Code Commune","Libellé des communes","Typo degré de Densité","Région","Population municipale 2017","Part population Dense (1)","Part population Densité Intermédiaire (2)","Part population Peu dense (3)","Part population Très peu dense (4)",,,,
01325,Rignieux-le-Franc,3,84,971,0.00 %,0.00 %,96.64 %,3.36 %,,,,
01328,Romans,4,84,590,0.00 %,0.00 %,28.96 %,71.04 %,,,,
01329,Rossillon,4,84,151,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01330,Ruffieu,4,84,186,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01331,Saint-Alban,4,84,178,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01332,Saint-André-de-Bâgé,3,84,751,0.00 %,0.00 %,100.00 %,0.00 %,,,,
01333,Saint-André-de-Corcy,3,84,3354,0.00 %,0.00 %,97.16 %,2.84 %,,,,
01334,Saint-André-d'Huiriat,3,84,626,0.00 %,0.00 %,97.91 %,2.09 %,,,,
01335,Saint-André-le-Bouchoux,3,84,390,0.00 %,0.00 %,81.98 %,18.02 %,,,,
01336,Saint-André-sur-Vieux-Jonc,3,84,1147,0.00 %,0.00 %,91.42 %,8.58 %,,,,
01337,Saint-Bénigne,3,84,1265,0.00 %,0.00 %,99.00 %,1.00 %,,,,
01338,Groslée-Saint-Benoit,3,84,1193,0.00 %,0.00 %,64.19 %,35.81 %,,,,
01339,Saint-Bernard,2,84,1433,0.00 %,76.82 %,23.18 %,0.00 %,,,,
01342,Sainte-Croix,3,84,570,0.00 %,0.00 %,85.32 %,14.68 %,,,,
01343,Saint-Cyr-sur-Menthon,3,84,1776,0.00 %,0.00 %,98.87 %,1.13 %,,,,
01344,Saint-Denis-lès-Bourg,2,84,5747,0.00 %,89.54 %,10.46 %,0.00 %,,,,
01345,Saint-Denis-en-Bugey,2,84,2309,0.00 %,99.01 %,0.81 %,0.18 %,,,,
01346,Saint-Didier-d'Aussiat,3,84,871,0.00 %,0.00 %,93.68 %,6.32 %,,,,
01347,Saint-Didier-de-Formans,2,84,1960,0.00 %,86.59 %,13.41 %,0.00 %,,,,
01348,Saint-Didier-sur-Chalaronne,3,84,2875,0.00 %,0.00 %,99.43 %,0.57 %,,,,
01349,Saint-Éloi,3,84,456,0.00 %,0.00 %,94.56 %,5.44 %,,,,
01350,Saint-Étienne-du-Bois,3,84,2448,0.00 %,0.00 %,95.68 %,4.32 %,,,,
01351,Saint-Étienne-sur-Chalaronne,3,84,1555,0.00 %,0.00 %,97.04 %,2.96 %,,,,
